start,end,speaker,text,overlap_ratio,emotion,emotion_score
0.0,4.0,SPEAKER_00,I want to tell you guys a story that happened recently on how I was looking for a job on,0.0,neu,1.0
4.0,9.84,SPEAKER_00,Discord freelancing servers and how that led to me on the phone with a North Korean spy.,0.0,ang,0.9944
9.84,15.24,SPEAKER_00,Potentially exposing how North Korea uses Discord to recruit people to work for North Korea.,0.0,ang,1.0
15.24,18.28,SPEAKER_00,"It sounds like a lot, but we're going to ease into it because the way this whole entire",0.0,ang,1.0
18.28,22.32,SPEAKER_00,video started is I just wanted to look at Discord freelancing servers and just talk about,0.0,ang,1.0
22.32,24.0,SPEAKER_00,scams and troll scammers.,0.0,neu,1.0
24.0,25.76,SPEAKER_00,So things start off pretty innocent.,0.0,ang,1.0
25.76,30.04,SPEAKER_00,I'm looking for English collars that slash translators from creator who's online right,0.0,ang,0.9998
30.04,31.04,SPEAKER_00,now.,0.0,neu,1.0
31.04,33.24,SPEAKER_00,Hopefully I get a job so I can pay off all that alimony.,0.0,neu,1.0
33.24,34.64,SPEAKER_00,Thanks for your apply.,0.0,ang,1.0
34.64,35.64,SPEAKER_00,Where are you from?,0.0,neu,1.0
35.64,36.64,SPEAKER_00,Hello the creator.,0.0,neu,0.9558
36.64,37.64,SPEAKER_00,I am from America.,0.0,ang,1.0
37.64,38.64,SPEAKER_00,What is your job?,0.0,neu,1.0
38.64,39.64,SPEAKER_00,Camping.,0.0,ang,0.9928
39.64,42.04,SPEAKER_00,But that's been dying down recently so I'm looking for a new job.,0.0,neu,1.0
42.04,45.76,SPEAKER_00,Especially since my wife recently divorced me over my work so I'm trying to win her back.,0.0,neu,0.9967
45.76,47.52,SPEAKER_00,Could you tell me more information about the job?,0.0,neu,0.9997
47.52,51.72,SPEAKER_00,I am a CTO of an IT agency based on Canada.,0.0,ang,1.0
51.72,53.84,SPEAKER_00,We are going to cover it field in America.,0.0,ang,1.0
53.84,56.64,SPEAKER_00,For ambitious goal we need help from USA men.,0.0,ang,1.0
56.64,58.56,SPEAKER_00,Have you ever heard of Upwork.com?,0.0,ang,1.0
58.56,59.56,SPEAKER_00,I have now.,0.0,neu,1.0
59.56,64.32,SPEAKER_00,Upwork.com is a website like Fiverr where basically you just find people to do work for you.,0.0,neu,0.9833
64.32,68.24,SPEAKER_00,So creator tells me that he liked me to create an upwork account and rent it to him and he's,0.0,ang,1.0
68.24,71.76,SPEAKER_00,going to pay me 10% of its income every month and he also says that he's going to do the,0.0,ang,1.0
71.76,74.12,SPEAKER_00,same thing with my LinkedIn account as well.,0.0,ang,1.0
74.12,77.56,SPEAKER_00,Now this is actually a pretty common scam on LinkedIn and Upwork.,0.0,ang,1.0
77.56,81.32,SPEAKER_00,What they will do is they will actually pay you money to rent your LinkedIn account and,0.0,ang,1.0
81.32,82.96,SPEAKER_00,scam people on LinkedIn.,0.0,neu,0.9997
82.96,86.12,SPEAKER_00,"Now the way that the scam works is that the job seekers, the people that are getting",0.0,ang,0.9856
86.12,90.44,SPEAKER_00,"scammed, will get contacted by scammers who pose as hiring managers or recruiters and",0.0,ang,1.0
90.44,94.88,SPEAKER_00,the accounts that they use to pretend to be a hiring manager or a recruiter is your,0.0,ang,1.0
94.88,95.88,SPEAKER_00,account.,0.0,neu,1.0
95.88,99.64,SPEAKER_00,"What these scammers will do is go through and talk the talk with these job seekers, going",0.0,ang,1.0
99.64,103.44,SPEAKER_00,"through a virtual interview, receiving a job offer and what ends up happening is that",0.0,ang,1.0
103.44,107.08,SPEAKER_00,they're asked to provide personal information such as your social insurance number which,0.0,ang,0.9628
107.08,111.04,SPEAKER_00,is Canada's version of your social security number and your driver's license which can,0.0,ang,1.0
111.12,113.08,SPEAKER_00,all lead to identity theft.,0.0,ang,1.0
113.08,118.72,SPEAKER_00,"As Mr. Creator is using your Upwork or LinkedIn account to scam people, you get 10% of these",0.0,ang,1.0
118.72,124.44,SPEAKER_00,fraudulent earnings if he actually does pay you but all of the scam is under your LinkedIn,0.0,ang,1.0
124.44,129.0,SPEAKER_00,account which is under your name or your Upwork account which is under your name because,0.0,ang,1.0
129.0,132.44,SPEAKER_00,to sign up for these services you need to have ID verification.,0.0,neu,1.0
132.44,136.24,SPEAKER_00,I'm just going to say if you're in the situation where your LinkedIn account with your whole,0.0,ang,1.0
136.24,140.48,SPEAKER_00,"account name in it is being used to scam people and you get paid for it, a good look",0.0,ang,1.0
140.48,143.32,SPEAKER_00,trying to explain that to any law enforcement.,0.0,neu,1.0
143.32,146.88,SPEAKER_00,"And again, when you sign up for these websites you need to provide your ID and there's a",0.0,ang,1.0
146.88,150.72,SPEAKER_00,pretty good chance that Creator here is going to ask for your ID if they just want to steal,0.0,ang,1.0
150.72,151.88,SPEAKER_00,your identity straight up.,0.0,ang,1.0
151.88,155.96,SPEAKER_00,"Now since I didn't want to get my identity stolen yet, I decided to reach out to a couple",0.0,ang,0.9998
155.96,160.96,SPEAKER_00,of more people on Discord about their job opportunities and these people started to lead,0.0,ang,1.0
160.96,163.28,SPEAKER_00,me towards good old North Korea.,0.0,neu,0.8765
163.28,165.04,SPEAKER_00,"Oh my goodness, it's weed.",0.0,ang,1.0
165.04,169.12,SPEAKER_00,"I got an email this guy or put them on telegram, not going to do that.",0.0,neu,1.0
169.12,170.68,SPEAKER_00,May I know your end level?,0.0,neu,1.0
170.68,172.36,SPEAKER_00,I mean your English level.,0.0,neu,1.0
172.36,173.36,SPEAKER_00,Fluent.,0.0,neu,1.0
173.36,176.16,SPEAKER_00,I can write naughty minion fanfiction off the top of my dome.,0.0,neu,0.5748
176.16,180.68,SPEAKER_00,The short minion enters the bedroom only wearing a thin set of underwear.,0.042,neu,1.0
180.68,182.4,SPEAKER_00,The big minion lying in bed.,0.0,neu,1.0
182.4,184.24,SPEAKER_00,The box of chocolates.,0.0,neu,1.0
184.24,185.24,SPEAKER_00,Mouth.,0.0,hap,1.0
185.24,186.24,SPEAKER_00,A gate.,0.0,hap,1.0
186.24,187.24,SPEAKER_00,Gasp.,0.0,ang,0.9791
187.24,188.24,SPEAKER_00,At the short minions.,0.0,neu,1.0
