start,end,speaker,text,overlap_ratio,emotion,emotion_score
0.0,6.0,SPEAKER_00,You might have heard of this mega project called the Line in Saudi Arabia which surprisingly,0.0,neu,1.0
6.0,12.16,SPEAKER_00,has built but did you know that Poland already built something similar? It's called the wave,0.041,neu,1.0
12.16,19.52,SPEAKER_00,"or in Polish, Veloviets. At 800 meters long it may not be as large as the line but it's still an",0.0,neu,1.0
19.52,27.36,SPEAKER_00,impressive building. Why was it built and why did they make it so damn long? Let's find out.,0.0,neu,1.0
30.96,37.12,SPEAKER_00,"I'm in Gdajsk, a city in the north of Poland on the coast of the Baltic Sea. It has almost",0.0,neu,1.0
37.12,43.76,SPEAKER_00,half a million inhabitants and its Poland's major seaport. The center has a rich history and,0.0,neu,1.0
43.76,49.36,SPEAKER_00,is full of beautiful buildings but today I'm heading to a building about 7 kilometers away from it.,0.0,neu,1.0
50.4,56.16,SPEAKER_00,As a Dutch person I have to say that I actually enjoyed biking in Gdajsk. There are plenty of,0.0,neu,1.0
56.16,63.68,SPEAKER_00,bike lanes and even these food arrests for cyclists at traffic lights but sometimes the bicycle,0.0,neu,1.0
63.68,73.36,SPEAKER_00,lane suddenly ends leaving you cycling on a sidewalk or a busy road. Here we turn right and there it,0.0,neu,1.0
73.36,81.6,SPEAKER_00,is. Pretty hard to miss. Veloviets stands in Psymusia which means by the sea. That's why the building,0.0,neu,1.0
81.6,89.36,SPEAKER_00,is only 1 kilometer away from the beach. Today Psymusia is one of the most populated neighborhoods,0.0,neu,1.0
89.36,96.24,SPEAKER_00,in Gdajsk but this wasn't always the case. Before the area was mostly farmland and wasn't even,0.0,neu,1.0
96.24,102.88,SPEAKER_00,part of the city yet. This is clearly visible on this old map from 1900 when Gdajsk was part of,0.0,neu,1.0
102.88,109.68,SPEAKER_00,the German Empire and still called Danzig. At that time Psymusia didn't exist yet. In this photo,0.0,neu,1.0
109.68,116.4,SPEAKER_00,taken in Oliva around 1915 you can see the fields that once covered the area that would later become,0.0,neu,1.0
116.4,123.2,SPEAKER_00,"Psymusia. After World War II, Poland faced a massive housing shortage. The government needed to",0.0,neu,1.0
123.2,129.2,SPEAKER_00,build large numbers of apartments quickly and cheaply. And what better place to build enormous,0.0,neu,1.0
129.2,134.96,SPEAKER_00,apartment blocks than on empty fields? In the 1950s the first residential blocks began to appear,0.0,neu,0.9995
134.96,141.68,SPEAKER_00,"in the neighborhoods. The famous Veloviets was completed in 1973 and took only 3 years to build,",0.0,neu,1.0
141.68,148.0,SPEAKER_00,remarkably fast for a structure of this size. This speed was made possible by the use of pre-fabricated,0.0,neu,1.0
148.0,154.88,SPEAKER_00,"concrete panels, a construction method typical of socialist error housing developments. At the time",0.0,neu,1.0
154.88,161.2,SPEAKER_00,the surrounding infrastructure was poor and traces of the rural past were still visible. Instead of,0.0,neu,1.0
161.2,166.4,SPEAKER_00,"constructing many separate buildings that all need their own infrastructure and facilities,",0.0,neu,1.0
166.4,172.64,SPEAKER_00,the architect simply extended the same structure again and again. This is the longest of 8 wave,0.0,neu,1.0
172.64,180.56,SPEAKER_00,blocks in Gdajsk. The second longest measures only about 600 meters. It's the skyscraper but sideways.,0.0,neu,1.0
180.56,186.48,SPEAKER_00,At 800 meters long it is the longest residential building in Poland and the third longest in Europe.,0.0,neu,1.0
187.12,194.8,SPEAKER_00,"After the Karl Marxhof in Vienna at 1.1 kilometers and the Corvall in Rome at 980 meters,",0.0,neu,1.0
195.36,200.8,SPEAKER_00,"it's so long that you can take a bus from one end, ride two stops and arrive at the other side of",0.0,neu,1.0
200.8,212.0,SPEAKER_00,"the building. Despite its length the building is only 11 stories high, it has 16 staircases and houses",0.0,neu,1.0
212.16,219.68,SPEAKER_00,"around 6,000 residents. Its distinctive wavy shape helps reduce strong winds from the sea and",0.0,neu,1.0
219.68,228.24,SPEAKER_00,improves light exposure for the apartments. I decided to park my bike and take a short walk around the,0.0,neu,1.0
228.24,241.36,SPEAKER_00,block. It took me 19 minutes and 4 seconds to walk the full 1.7 kilometers around it.,0.0,neu,1.0
241.36,244.8,SPEAKER_00,So walking your dog here can actually be quite a decent workout.,0.0,neu,1.0
247.2,252.72,SPEAKER_00,"Faloviet was built according to the idea of modernism, large residential units containing a",0.0,neu,1.0
252.72,259.76,SPEAKER_00,"high number of apartments. With open spaces between them reserved for greenery and public areas,",0.0,neu,1.0
259.76,266.64,SPEAKER_00,"and indeed all along the building there are green spaces, playgrounds and benches giving the area",0.0,neu,1.0
266.64,271.52,SPEAKER_00,a lively atmosphere. The building also houses many small businesses.,0.0,neu,1.0
276.24,284.88,SPEAKER_00,And of course a job. I was curious to have a look inside and being too shy to ask I sneaked in,0.0,neu,1.0
284.88,290.8,SPEAKER_00,after someone entering the building. From the tenth floor you can enjoy a beautiful view of the,0.0,neu,1.0
290.8,297.36,SPEAKER_00,"Baltic Sea and even see Gideña, a city about 13 kilometers away. And you can enjoy these",0.0,neu,1.0
297.36,299.6,SPEAKER_00,ugly AI-generated looking buildings.,0.0,neu,1.0
308.64,313.36,SPEAKER_00,Thanks to the building's wavy design you also get a great view along its entire length.,0.0,neu,1.0
315.12,320.64,SPEAKER_00,"Overall this looks like an amazing place to live close to the sea, well depending on which",0.0,neu,1.0
320.64,326.8,SPEAKER_00,side of the building you live and with all the necessary facilities nearby. It's also well connected,0.0,neu,1.0
326.8,334.96,SPEAKER_00,"to the rest of Gideña, with a 27-minute tram ride to the city center. So if you ever find yourself",0.0,neu,1.0
334.96,340.8,SPEAKER_00,"walking along the beach in Gideña and would like to see an absurdly long building, you know where to",0.0,neu,1.0
340.8,346.96,SPEAKER_00,"look for it now. Thanks for watching, bye bye.",0.0,neu,1.0
